,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Michael Pierce\PierMi00,MIN,0,0,0,0,0,2.0,7,3,4,2,2,0,0,0,0
Nick Vigil\VigiNi00,MIN,0,0,0,0,0,1.0,10,8,2,2,1,0,0,0,0
Danielle Hunter\HuntDa01,MIN,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,0
Harrison Smith\SmitHa00,MIN,0,0,0,0,0,1.0,6,5,1,1,1,0,0,0,0
Eric Kendricks\KendEr00,MIN,0,0,0,0,0,0.0,15,6,9,0,0,0,0,0,0
Bashaud Breeland\BreeBa00,MIN,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
Xavier Woods\WoodXa00,MIN,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Dalvin Tomlinson\TomlDa00,MIN,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
Stephen Weatherly\WeatSt00,MIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Kris Boyd\BoydKr00,MIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Camryn Bynum\BynuCa00,MIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Harrison Hand\HandHa00,MIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Blake Lynch\LyncBl00,MIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
D.J. Wonnum\WonnDJ00,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Mackensie Alexander\AlexMa01,MIN,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Andrew DePaola\DePaAn00,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Troy Dye\DyexTr00,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Patrick Peterson\PetePa00,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Sheldon Richardson\RichSh00,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Armon Watts\WattAr01,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Everson Griffen\GrifEv99,MIN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
B.J. Hill\HillB.00,CIN,0,0,0,0,0,2.0,3,3,0,2,2,0,0,0,0
Larry Ogunjobi\OgunLa00,CIN,0,0,0,0,0,1.0,6,4,2,2,1,0,0,0,0
Jessie Bates III\BateJe00,CIN,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
Germaine Pratt\PratGe00,CIN,0,0,0,0,0,0.0,8,6,2,1,1,1,0,0,1
Vonn Bell\BellVo00,CIN,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0
Logan Wilson\WilsLo00,CIN,0,0,0,0,0,0.0,7,4,3,0,1,0,0,0,0
Eli Apple\ApplEl00,CIN,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Chidobe Awuzie\AwuzCh00,CIN,0,0,0,0,2,0.0,6,4,2,0,0,0,0,0,0
Mike Hilton\HiltMi01,CIN,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0
Ricardo Allen\AlleRi00,CIN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Sam Hubbard\HubbSa00,CIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
D.J. Reader\ReadD.00,CIN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Samaje Perine\PeriSa00,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jordan Evans\EvanJo01,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Darius Phillips\PhilDa02,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Trey Hendrickson\HendTr00,CIN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Cameron Sample\SampCa00,CIN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Josh Tupou\TupoJo00,CIN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
