Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Bashaud Breeland\BreeBa00,MIN,0,10,7,70.0%,126,18.0,12.6,2,152.1,12.7,72,54,1,0,0,0.0,0,7,2,22.2%
Eric Kendricks\KendEr00,MIN,0,4,4,100.0%,25,6.3,6.3,0,92.7,1.5,6,19,3,0,0,0.0,0,15,2,11.8%
Patrick Peterson\PetePa00,MIN,0,4,3,75.0%,31,10.3,7.8,0,96.9,1.5,3,28,0,0,0,0.0,0,1,0,0.0%
Kris Boyd\BoydKr00,MIN,0,3,2,66.7%,19,9.5,6.3,0,84.0,13.0,14,5,0,0,0,0.0,0,2,0,0.0%
Xavier Woods\WoodXa00,MIN,0,2,2,100.0%,49,24.5,24.5,0,118.7,16.0,32,17,0,0,0,0.0,0,5,0,0.0%
Nick Vigil\VigiNi00,MIN,0,1,1,100.0%,2,2.0,2.0,0,79.2,1.0,1,1,2,1,0,1.0,2,10,0,0.0%
Mackensie Alexander\AlexMa01,MIN,0,2,1,50.0%,9,9.0,4.5,0,62.5,4.5,9,0,1,0,0,0.0,0,1,3,75.0%
Michael Pierce\PierMi00,MIN,0,0,0,,,,,,,,,,0,0,0,2.0,2,7,0,0.0%
Danielle Hunter\HuntDa01,MIN,0,0,0,,,,,,,,,,0,1,0,1.0,2,6,1,14.3%
Everson Griffen\GrifEv99,MIN,0,0,0,,,,,,,,,,0,1,1,0.0,2,0,0,
Dalvin Tomlinson\TomlDa00,MIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
Harrison Smith\SmitHa00,MIN,0,0,0,,,,,,,,,,2,0,0,1.0,1,6,2,25.0%
Chidobe Awuzie\AwuzCh00,CIN,0,11,7,63.6%,83,11.9,7.5,0,86.6,11.3,50,33,1,0,0,0.0,0,6,0,0.0%
Eli Apple\ApplEl00,CIN,0,7,7,100.0%,70,10.0,10.0,1,147.9,6.4,45,25,0,0,0,0.0,0,6,2,25.0%
Mike Hilton\HiltMi01,CIN,0,7,5,71.4%,45,9.0,6.4,1,128.0,5.4,17,28,5,3,0,0.0,3,6,0,0.0%
Germaine Pratt\PratGe00,CIN,0,4,4,100.0%,24,6.0,6.0,0,91.7,3.8,15,9,3,0,1,0.0,1,8,0,0.0%
Vonn Bell\BellVo00,CIN,0,4,4,100.0%,27,6.8,6.8,0,94.8,0.8,3,24,0,0,0,0.0,0,7,0,0.0%
Jessie Bates III\BateJe00,CIN,0,4,4,100.0%,51,12.8,12.8,0,118.7,9.5,38,13,1,0,0,0.0,0,9,0,0.0%
Logan Wilson\WilsLo00,CIN,0,4,3,75.0%,38,12.7,9.5,0,104.2,5.5,14,24,2,0,1,0.0,1,7,0,0.0%
Cameron Sample\SampCa00,CIN,0,1,1,100.0%,9,9.0,9.0,0,104.2,-4.0,-4,13,0,0,1,0.0,1,0,0,
Ricardo Allen\AlleRi00,CIN,0,1,1,100.0%,0,0.0,0.0,0,79.2,-4.0,-4,4,1,0,0,0.0,0,5,0,0.0%
Darius Phillips\PhilDa02,CIN,0,1,1,100.0%,7,7.0,7.0,0,95.8,7.0,7,0,0,0,0,0.0,0,1,0,0.0%
Jordan Evans\EvanJo01,CIN,0,1,1,100.0%,8,8.0,8.0,0,100.0,6.0,6,2,1,0,0,0.0,0,1,0,0.0%
Trey Hendrickson\HendTr00,CIN,0,1,0,0.0%,,,0.0,,39.6,0.0,,,1,3,1,0.0,4,0,0,
Sam Hubbard\HubbSa00,CIN,0,0,0,,,,,,,,,,0,1,1,0.0,2,3,0,0.0%
B.J. Hill\HillB.00,CIN,0,0,0,,,,,,,,,,0,0,0,2.0,2,3,0,0.0%
Larry Ogunjobi\OgunLa00,CIN,0,0,0,,,,,,,,,,0,0,0,1.0,1,6,0,0.0%
Josh Tupou\TupoJo00,CIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
Akeem Davis-Gaither\DaviAk01,CIN,0,1,0,0.0%,,,0.0,,39.6,13.0,,,0,0,0,0.0,0,0,0,
