,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Rashod Hill\HillRa01,T,83,100%,0,0%,4,12%
Brian O'Neill\ONeiBr00,T,83,100%,0,0%,4,12%
Oli Udoh\UdohOl01,T,83,100%,0,0%,4,12%
Ezra Cleveland\ClevEz00,G,83,100%,0,0%,4,12%
Garrett Bradbury\BradGa00,C,83,100%,0,0%,0,0%
Kirk Cousins\CousKi00,QB,83,100%,0,0%,0,0%
Adam Thielen\ThieAd00,WR,78,94%,0,0%,0,0%
Justin Jefferson\JeffJu00,WR,76,92%,0,0%,0,0%
K.J. Osborn\OsboKJ00,WR,67,81%,0,0%,9,26%
Dalvin Cook\CookDa01,RB,59,71%,0,0%,0,0%
Tyler Conklin\ConkTy00,TE,59,71%,0,0%,0,0%
C.J. Ham\HamxC.00,FB,25,30%,0,0%,13,38%
Dede Westbrook\WestDe00,WR,15,18%,0,0%,7,21%
Chris Herndon\HernCh00,TE,12,14%,0,0%,0,0%
Ameer Abdullah\AbduAm00,RB,9,11%,0,0%,5,15%
Alexander Mattison\MattAl01,RB,9,11%,0,0%,0,0%
Ihmir Smith-Marsette\SmitIh00,WR,4,5%,0,0%,5,15%
Blake Brandel\BranBl00,T,2,2%,0,0%,4,12%
Patrick Peterson\PetePa00,CB,0,0%,69,100%,7,21%
Nick Vigil\VigiNi00,LB,0,0%,69,100%,7,21%
Eric Kendricks\KendEr00,LB,0,0%,69,100%,7,21%
Xavier Woods\WoodXa00,FS,0,0%,69,100%,7,21%
Harrison Smith\SmitHa00,SS,0,0%,69,100%,5,15%
Bashaud Breeland\BreeBa00,CB,0,0%,61,88%,5,15%
Danielle Hunter\HuntDa01,DE,0,0%,60,87%,7,21%
Mackensie Alexander\AlexMa01,CB,0,0%,50,72%,6,18%
Dalvin Tomlinson\TomlDa00,DT,0,0%,47,68%,6,18%
D.J. Wonnum\WonnDJ00,DE,0,0%,47,68%,4,12%
Michael Pierce\PierMi00,NT,0,0%,41,59%,7,21%
Everson Griffen\GrifEv99,DE,0,0%,28,41%,0,0%
Sheldon Richardson\RichSh00,DT,0,0%,22,32%,1,3%
Stephen Weatherly\WeatSt00,DE,0,0%,17,25%,21,62%
Armon Watts\WattAr01,NT,0,0%,17,25%,0,0%
Blake Lynch\LyncBl00,LB,0,0%,16,23%,30,88%
Kris Boyd\BoydKr00,CB,0,0%,8,12%,18,53%
Troy Dye\DyexTr00,LB,0,0%,0,0%,23,68%
Camryn Bynum\BynuCa00,FS,0,0%,0,0%,23,68%
Harrison Hand\HandHa00,CB,0,0%,0,0%,22,65%
Brandon Dillon\DillBr00,TE,0,0%,0,0%,22,65%
Josh Metellus\MeteJo00,SS,0,0%,0,0%,18,53%
Ryan Connelly\ConnRy00,LB,0,0%,0,0%,15,44%
Chazz Surratt\SurrCh00,LB,0,0%,0,0%,13,38%
Andrew DePaola\DePaAn00,LS,0,0%,0,0%,12,35%
Jordan Berry\BerrJo00,P,0,0%,0,0%,12,35%
Greg Joseph\JoseGr00,K,0,0%,0,0%,9,26%
Mason Cole\ColeMa02,C,0,0%,0,0%,4,12%
Wyatt Davis\DaviWy00,G,0,0%,0,0%,4,12%
