Quarter,Time,Down,ToGo,Location,Detail,MIN,CIN,EPB,EPA
,,,,,Bengals won the coin toss and deferred Vikings to receive the opening kickoff.,,,,
1,15:00,,,CIN 35,Evan McPherson kicks off 65 yards touchback.,0,0,0.000,0.610
1,15:00,1,10,MIN 25,Penalty on C.J. Ham: False Start 5 yards (accepted) (no play),0,0,0.610,0.280
1,15:00,1,15,MIN 20,Kirk Cousins pass complete short right to Dalvin Cook for 9 yards (tackle by Logan Wilson and D.J. Reader),0,0,0.280,0.600
1,14:25,2,6,MIN 29,Penalty on Tyler Conklin: False Start 5 yards (accepted) (no play),0,0,0.600,-0.070
1,14:08,2,11,MIN 24,Kirk Cousins pass complete short middle to Tyler Conklin for 6 yards (tackle by Germaine Pratt),0,0,-0.070,0.040
1,13:35,3,5,MIN 30,Kirk Cousins pass complete short left to Adam Thielen for 12 yards (tackle by Mike Hilton),0,0,0.040,1.730
1,13:05,1,10,MIN 42,Dalvin Cook for 1 yard (tackle by Larry Ogunjobi),0,0,1.730,1.320
1,12:30,2,9,MIN 43,Penalty on C.J. Ham: False Start 5 yards (accepted) (no play),0,0,1.320,0.650
1,12:17,2,14,MIN 38,Kirk Cousins pass complete short middle to Adam Thielen for no gain (tackle by Logan Wilson). Penalty on Oli Udoh: Offensive Holding 10 yards (accepted) (no play),0,0,0.650,-0.700
1,11:49,2,24,MIN 28,Kirk Cousins pass incomplete short left intended for Justin Jefferson,0,0,-0.700,-1.350
1,11:44,3,24,MIN 28,Kirk Cousins pass complete short middle to Dede Westbrook for 11 yards (tackle by Ricardo Allen and Jessie Bates),0,0,-1.350,-0.780
1,11:04,4,13,MIN 39,Jordan Berry punts 39 yards returned by Darius Phillips for 8 yards (tackle by Camryn Bynum),0,0,-0.780,-0.940
1,10:53,1,10,CIN 30,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Michael Pierce and Eric Kendricks),0,0,0.940,1.070
1,10:16,2,5,CIN 35,Joe Mixon left end for 5 yards (tackle by Eric Kendricks),0,0,1.070,1.600
1,9:45,1,10,CIN 40,Ja'Marr Chase right end for -2 yards (tackle by Nick Vigil),0,0,1.600,0.780
1,9:07,2,12,CIN 38,Joe Burrow pass incomplete short left intended for Tyler Boyd,0,0,0.780,0.100
1,9:03,3,12,CIN 38,Joe Burrow pass complete short left to C.J. Uzomah for 3 yards (tackle by Eric Kendricks),0,0,0.100,-0.590
1,8:28,4,8,CIN 42,Kevin Huber punts 59 yards touchback.,0,0,-0.590,-0.280
1,8:21,1,10,MIN 20,Dalvin Cook right tackle for 3 yards (tackle by Sam Hubbard and Vonn Bell),0,0,0.280,0.140
1,7:48,2,7,MIN 23,Dalvin Cook right guard for 1 yard (tackle by Germaine Pratt),0,0,0.140,-0.430
1,7:14,3,6,MIN 24,Kirk Cousins pass incomplete short left intended for Adam Thielen,0,0,-0.430,-1.770
1,7:11,4,6,MIN 24,Jordan Berry punts 46 yards returned by Darius Phillips for 15 yards (tackle by Camryn Bynum),0,0,-1.770,-1.930
1,7:00,1,10,CIN 45,Joe Mixon for 3 yards (tackle by Eric Kendricks and Michael Pierce),0,0,1.930,1.790
1,6:25,2,7,CIN 48,Joe Burrow sacked by Nick Vigil for -12 yards,0,0,1.790,-0.490
1,5:45,3,19,CIN 36,Joe Burrow pass complete short left to Samaje Perine for 7 yards (tackle by Patrick Peterson),0,0,-0.490,-0.520
1,5:09,4,12,CIN 43,Kevin Huber punts 47 yards fair catch by Dede Westbrook at MIN-10,0,0,-0.520,0.380
1,5:01,1,10,MIN 10,Kirk Cousins pass complete short left to Dalvin Cook for 9 yards (tackle by Jessie Bates),0,0,-0.380,0.240
1,4:32,2,1,MIN 19,Dalvin Cook for 2 yards (tackle by B.J. Hill),0,0,0.240,0.340
1,3:49,1,10,MIN 21,Kirk Cousins sacked by B.J. Hill for -9 yards,0,0,0.340,-1.440
1,3:07,2,19,MIN 12,Kirk Cousins pass complete short right to Justin Jefferson for -1 yards (tackle by Mike Hilton),0,0,-1.440,-2.590
1,2:23,3,20,MIN 11,Kirk Cousins sacked by Larry Ogunjobi for -9 yards,0,0,-2.590,-2.490
1,1:37,4,29,MIN 2,Jordan Berry punts 49 yards fair catch by Darius Phillips at CIN-49,0,0,-2.490,-2.190
1,1:31,1,10,CIN 49,Joe Mixon left guard for 4 yards (tackle by Nick Vigil and Stephen Weatherly),0,0,2.190,2.190
