,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,34,27,7,.794,-1.91,-7.34,,14,4,,13,2,,10,4,,2502,2161,,67.2,93.8,.370,.333,.529,49.7,47.3,8.3,7.4,.488,21.5,27.3,.267
2,Air Force,32,14,18,.438,-4.28,0.24,,8,10,,9,6,,3,9,,2179,2294,,67.4,104.7,.286,.462,.555,49.9,54.0,10.5,8.2,.533,15.7,23.8,.194
3,Akron,33,17,16,.515,4.86,1.09,,8,10,,14,3,,1,10,,2271,2107,,68.5,92.9,.297,.382,.481,51.8,45.1,8.2,8.7,.452,16.6,29.3,.194
4,Alabama A&M,32,5,27,.156,-19.23,-8.38,,4,14,,4,7,,0,18,,1938,2285,,67.5,104.5,.388,.384,.558,52.9,53.5,11.3,8.9,.537,18.3,31.7,.247
5,Alabama-Birmingham,35,20,15,.571,0.36,-1.52,,10,8,,11,5,,6,6,,2470,2370,,66.6,100.9,.314,.445,.526,47.3,54.7,7.6,8.4,.490,15.7,25.4,.230
6,Alabama State,31,12,19,.387,-15.60,-7.84,,9,9,,8,3,,3,13,,2086,2235,,69.6,102.8,.361,.368,.551,51.0,54.1,10.3,9.4,.518,18.8,30.8,.255
7,Alabama,34,18,16,.529,9.45,9.01,,8,10,,10,6,,4,8,,2448,2433,,69.8,102.1,.296,.327,.521,48.0,43.1,9.3,11.7,.489,14.7,28.0,.210
8,Albany (NY),32,12,20,.375,-9.38,-6.70,,7,9,,6,8,,6,10,,2150,2216,,66.7,102.3,.297,.391,.540,50.3,57.2,9.5,12.3,.519,16.5,27.7,.194
9,Alcorn State,31,10,21,.323,-22.08,-8.97,,6,12,,10,3,,0,17,,1995,2194,,68.8,102.5,.355,.377,.538,50.1,62.5,11.4,7.7,.507,16.9,29.1,.244
10,American,30,15,15,.500,-4.19,-7.23,,9,9,,8,7,,6,8,,2161,2070,,67.7,100.2,.348,.304,.520,49.6,50.2,9.2,9.2,.482,15.5,27.3,.248
11,Appalachian State,32,11,21,.344,-3.73,0.10,,6,12,,9,5,,2,12,,2557,2539,,73.7,106.8,.336,.336,.559,51.4,45.6,9.5,8.9,.529,15.8,28.7,.237
12,Arizona State NCAA,34,23,11,.676,10.28,6.04,,12,6,,13,3,,6,5,,2638,2494,,72.5,99.6,.386,.435,.525,47.4,54.2,8.8,8.7,.485,16.7,26.5,.272
13,Arizona,32,17,15,.531,8.32,6.32,,8,10,,12,5,,4,7,,2269,2205,,68.6,99.7,.350,.369,.538,49.5,47.8,7.8,10.6,.509,18.0,25.9,.238
14,Little Rock,31,10,21,.323,-4.87,-2.07,,5,13,,7,9,,3,12,,2301,2353,,72.7,103.5,.385,.438,.553,50.2,54.8,7.7,7.1,.518,17.1,26.9,.273
15,Arkansas-Pine Bluff,32,13,19,.406,-14.43,-8.18,,10,8,,8,2,,4,17,,2108,2269,,67.3,103.7,.441,.330,.548,50.6,55.7,11.0,9.5,.513,17.6,29.9,.298
16,Arkansas State,32,13,19,.406,-7.10,-1.23,,7,11,,10,4,,2,13,,2359,2475,,70.2,107.7,.426,.368,.553,48.5,50.9,8.4,9.5,.506,15.1,29.1,.316
17,Arkansas,34,18,16,.529,11.75,8.78,,8,10,,12,6,,5,8,,2559,2458,,71.7,100.1,.417,.420,.532,53.0,54.0,8.6,9.0,.494,19.3,34.5,.287
18,Army,32,13,19,.406,-7.57,-4.73,,8,10,,10,4,,3,13,,2268,2305,,71.7,100.5,.281,.407,.549,51.1,52.7,9.4,12.4,.527,17.2,22.1,.191
19,Auburn NCAA,40,30,10,.750,20.84,10.92,,11,7,,15,2,,4,6,,3188,2750,,69.2,98.4,.359,.435,.545,50.8,52.2,8.1,11.7,.512,21.3,31.7,.254
20,Austin Peay,33,22,11,.667,0.59,-4.41,,13,5,,10,2,,8,7,,2712,2413,,71.8,100.6,.337,.378,.544,48.3,51.9,7.8,7.9,.514,19.0,29.1,.234
21,Ball State,33,16,17,.485,3.39,1.21,,6,12,,7,7,,8,7,,2478,2362,,71.7,98.3,.299,.349,.504,48.5,45.4,9.3,8.7,.470,15.4,28.1,.210
22,Baylor NCAA,34,20,14,.588,13.38,9.26,,10,8,,13,5,,5,6,,2442,2302,,66.5,101.4,.365,.382,.525,45.9,55.6,8.9,12.6,.491,16.1,28.9,.249
23,Belmont NCAA,33,27,6,.818,9.12,-2.60,,16,2,,13,1,,12,3,,2868,2439,,74.2,98.8,.270,.352,.512,47.8,44.9,8.1,9.9,.484,14.5,24.1,.188
24,Bethune-Cookman,31,14,17,.452,-11.98,-9.74,,9,7,,11,4,,3,12,,2290,2245,,74.3,96.7,.361,.357,.504,47.9,55.9,9.5,10.0,.467,17.6,30.2,.246
25,Binghamton,33,10,23,.303,-13.92,-4.69,,5,11,,5,11,,5,12,,2152,2376,,67.3,107.0,.246,.390,.538,54.4,61.6,10.2,9.0,.519,14.7,31.1,.163
26,Boise State,33,13,20,.394,3.61,1.08,,7,11,,8,7,,3,10,,2364,2263,,66.5,102.3,.328,.403,.554,50.2,51.8,7.2,8.3,.518,16.8,24.2,.243
27,Boston College,31,14,17,.452,5.83,7.76,,5,13,,10,8,,2,8,,2196,2256,,68.4,104.7,.294,.405,.521,51.3,54.2,8.4,8.6,.484,14.2,31.5,.219
28,Boston University,33,15,18,.455,-6.61,-5.39,,7,11,,7,7,,8,10,,2385,2387,,68.1,105.9,.318,.397,.569,48.5,52.4,8.8,8.3,.539,16.4,24.7,.232
29,Bowling Green State,34,22,12,.647,4.24,0.86,,12,6,,14,2,,5,8,,2668,2496,,72.8,100.0,.301,.435,.529,46.5,47.0,8.9,7.2,.500,15.8,23.8,.209
30,Bradley NCAA,35,20,15,.571,-0.08,-0.90,,9,9,,10,6,,5,8,,2329,2285,,66.2,98.3,.351,.398,.518,49.3,53.3,8.4,7.4,.477,16.4,26.2,.254
