,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,25,21,4,.840,5.18,-8.11,,13,2,,13,0,,5,4,,1924,1518,,72.6,106.0,.359,.375,.548,51.1,65.6,13.5,9.5,.522,16.5,31.1,.239
2,Air Force,24,5,19,.208,-12.26,0.32,,3,17,,3,8,,1,10,,1416,1718,,63.7,92.5,.314,.455,.551,40.5,58.8,11.0,7.4,.524,21.3,15.9,.218
3,Akron,21,14,7,.667,2.88,-1.33,,12,6,,9,1,,5,5,,1650,1512,,70.6,110.7,.309,.473,.562,52.2,49.7,7.4,8.9,.527,14.8,31.1,.234
4,Alabama A&M,15,6,9,.400,-18.99,-15.12,,4,9,,5,2,,1,7,,950,1008,,70.1,88.9,.318,.329,.475,49.8,47.6,7.7,9.1,.448,18.6,28.1,.199
5,Alabama-Birmingham,27,21,6,.778,6.12,-3.92,,13,5,,15,2,,6,4,,1972,1624,,69.3,105.4,.325,.276,.528,51.4,39.3,11.7,11.9,.496,13.3,29.1,.225
6,Alabama State,18,4,14,.222,-24.45,-17.12,,4,14,,3,6,,1,8,,1156,1288,,72.4,88.8,.427,.347,.476,49.1,45.7,8.4,6.1,.435,19.3,29.5,.277
7,Alabama,27,21,6,.778,19.55,10.26,,16,2,,12,1,,7,3,,2149,1898,,75.7,105.2,.302,.470,.544,51.1,51.2,11.5,10.1,.514,16.3,30.7,.216
8,Albany (NY),16,7,9,.438,-3.62,-4.31,,6,6,,4,5,,2,4,,1110,1099,,69.7,99.6,.341,.343,.541,47.9,47.3,8.8,5.1,.505,16.4,22.3,.247
9,Alcorn State,18,6,12,.333,-19.11,-10.33,,6,7,,4,3,,2,9,,1201,1359,,70.9,94.0,.343,.336,.495,48.1,39.3,10.7,5.3,.449,17.5,29.7,.253
10,American,10,4,6,.400,-2.96,1.54,,4,5,,2,2,,2,4,,691,736,,67.5,97.5,.268,.427,.550,48.2,51.6,10.3,11.4,.526,20.1,24.1,.189
11,Appalachian State,28,17,11,.607,-5.08,-4.99,,7,8,,9,4,,4,7,,1986,1806,,66.7,104.1,.343,.431,.525,50.6,49.4,11.8,9.8,.484,14.8,29.9,.253
12,Arizona State,23,10,13,.435,5.57,8.01,,7,10,,7,6,,2,6,,1721,1777,,72.5,102.1,.341,.356,.531,44.5,49.5,9.6,9.3,.493,13.3,21.5,.248
13,Arizona,26,17,9,.654,12.90,6.05,,11,9,,12,4,,5,5,,1961,1783,,68.4,109.2,.418,.314,.548,55.1,60.4,8.5,11.2,.505,14.7,34.0,.304
14,Little Rock,26,11,15,.423,-6.01,-5.05,,7,11,,7,4,,2,8,,1786,1782,,67.9,100.2,.369,.337,.542,52.3,55.5,9.3,9.6,.508,19.2,31.1,.259
15,Arkansas-Pine Bluff,24,4,20,.167,-22.57,-7.57,,3,12,,2,3,,2,17,,1487,1847,,69.7,88.0,.385,.292,.482,46.8,45.0,9.1,10.0,.432,19.9,26.9,.277
16,Arkansas State,24,11,13,.458,-7.66,-5.57,,7,8,,9,3,,1,9,,1741,1667,,69.3,104.1,.344,.289,.538,52.5,55.9,9.4,7.1,.502,16.2,31.9,.248
17,Arkansas,26,21,5,.808,18.54,5.89,,13,4,,16,1,,5,4,,2166,1837,,75.3,110.2,.326,.359,.554,52.8,50.5,10.8,13.5,.518,14.5,31.7,.243
18,Army,20,12,8,.600,5.05,4.94,,7,7,,5,4,,5,3,,1448,1385,,70.2,102.5,.282,.412,.547,49.9,54.7,9.1,4.4,.532,16.3,23.5,.177
19,Auburn,27,13,14,.481,10.49,9.74,,7,11,,8,5,,3,8,,2084,2064,,73.4,104.1,.362,.461,.546,52.0,56.3,8.4,14.8,.512,18.7,34.8,.256
20,Austin Peay,27,14,13,.519,-6.16,-7.72,,10,10,,8,5,,4,6,,2007,1890,,69.0,106.6,.286,.354,.546,52.1,48.7,9.7,5.9,.513,17.8,36.0,.215
21,Ball State,22,10,12,.455,-1.15,-0.47,,8,9,,7,4,,3,8,,1630,1645,,72.1,102.2,.290,.414,.547,49.4,53.2,7.6,6.2,.515,17.5,27.3,.216
