,school,games,ors_pct,drs_pct,trs_pct,a_pct,pace,fga,fg_pct,ft_fga,ft_pct,ft,fta,three_ar,two_pct,three_pct,ast,w_pct,sos
1,Abilene Christian,25,0.3109,0.7271,1.038,0.66,72.6,1500,0.457,0.239,0.664,358,539,0.375,0.5250800426894343,0.345,450,0.84,-8.11
2,Air Force,24,0.1589,0.6448999999999999,0.8038,0.59,63.7,1119,0.447,0.218,0.695,244,351,0.455,0.5377049180327869,0.338,294,0.20800000000000002,0.32
3,Akron,21,0.311,0.7225,1.0334999999999999,0.5,70.6,1280,0.448,0.234,0.758,300,396,0.473,0.5466666666666666,0.337,285,0.667,-1.33
4,Alabama A&M,15,0.2807,0.708,0.9887,0.48,70.1,868,0.4,0.199,0.627,173,276,0.329,0.4536082474226804,0.29,165,0.4,-15.12
5,Alabama-Birmingham,27,0.29100000000000004,0.7429000000000001,1.0339,0.39,69.3,1619,0.454,0.225,0.694,365,526,0.276,0.5102389078498294,0.306,289,0.778,-3.92
6,Alabama State,18,0.2954,0.7044,0.9997999999999999,0.46,72.4,1009,0.38,0.277,0.647,279,431,0.347,0.41274658573596357,0.317,175,0.222,-17.12
7,Alabama,27,0.3069,0.7118000000000001,1.0187,0.51,75.7,1728,0.431,0.216,0.715,373,522,0.47,0.4978165938864629,0.355,381,0.778,10.26
8,Albany (NY),16,0.2231,0.7269,0.95,0.47,69.7,883,0.447,0.247,0.724,218,301,0.343,0.5051724137931034,0.337,187,0.43799999999999994,-4.31
9,Alcorn State,18,0.29719999999999996,0.6998000000000001,0.997,0.39,70.9,1043,0.398,0.253,0.737,264,358,0.336,0.4444444444444444,0.306,163,0.33299999999999996,-10.33
10,American,10,0.2415,0.7006,0.9421,0.52,67.5,557,0.445,0.189,0.705,105,149,0.427,0.4952978056426332,0.378,128,0.4,1.54
11,Appalachian State,28,0.2986,0.7261,1.0247,0.49,66.7,1626,0.415,0.253,0.737,411,558,0.431,0.48324324324324325,0.324,333,0.607,-4.99
12,Arizona State,23,0.21539999999999998,0.6944,0.9097999999999999,0.5,72.5,1395,0.433,0.248,0.728,346,475,0.356,0.4866369710467706,0.336,299,0.435,8.01
13,Arizona,26,0.34,0.7587999999999999,1.0988,0.6,68.4,1492,0.447,0.304,0.727,453,623,0.314,0.4814453125,0.372,403,0.654,6.05
14,Little Rock,26,0.3107,0.7254999999999999,1.0362,0.55,67.9,1401,0.455,0.259,0.702,363,517,0.337,0.5285252960172229,0.311,354,0.423,-5.05
15,Arkansas-Pine Bluff,24,0.2688,0.6825,0.9512999999999999,0.45,69.7,1303,0.387,0.277,0.719,361,502,0.292,0.41865509761388287,0.31,227,0.16699999999999998,-7.57
16,Arkansas State,24,0.3185,0.7240000000000001,1.0425,0.56,69.3,1390,0.447,0.248,0.722,345,478,0.289,0.4726720647773279,0.383,347,0.45799999999999996,-5.57
17,Arkansas,26,0.3166,0.7369,1.0534999999999999,0.5,75.3,1694,0.456,0.243,0.745,411,552,0.359,0.5193370165745856,0.344,390,0.8079999999999999,5.89
18,Army,20,0.2346,0.7617,0.9963,0.55,70.2,1167,0.462,0.177,0.629,207,329,0.412,0.5481049562682215,0.339,295,0.6,4.94
19,Auburn,27,0.3483,0.6849,1.0332,0.56,73.4,1628,0.437,0.256,0.708,417,589,0.461,0.5313568985176739,0.326,400,0.48100000000000004,9.74
20,Austin Peay,27,0.35969999999999996,0.7031999999999999,1.0629,0.49,69.0,1617,0.453,0.215,0.751,347,462,0.354,0.5162835249042146,0.339,357,0.519,-7.72
21,Ball State,22,0.2731,0.6986,0.9717,0.53,72.1,1309,0.444,0.216,0.747,283,379,0.414,0.516297262059974,0.341,309,0.455,-0.47
22,Baylor,22,0.37450000000000006,0.6923,1.0668,0.56,70.1,1389,0.497,0.189,0.686,262,382,0.391,0.541371158392435,0.429,384,0.955,5.19
23,Bellarmine,20,0.27940000000000004,0.7325,1.0119,0.56,65.1,1091,0.515,0.214,0.745,234,314,0.313,0.5786666666666667,0.375,316,0.65,-6.09
24,Belmont,30,0.2611,0.7247,0.9858,0.61,71.9,1829,0.489,0.208,0.738,380,515,0.43,0.5978886756238004,0.344,547,0.867,-8.13
25,Binghamton,18,0.2907,0.7251000000000001,1.0158,0.46,66.2,1039,0.414,0.156,0.672,162,241,0.454,0.48324514991181655,0.331,199,0.222,-4.48
26,Boise State,25,0.27690000000000003,0.7696999999999999,1.0466,0.5,70.1,1471,0.453,0.254,0.743,373,502,0.383,0.523704520396913,0.34,336,0.72,0.77
27,Boston College,19,0.2439,0.7209,0.9648,0.46,72.3,1140,0.423,0.204,0.704,233,331,0.466,0.4975369458128079,0.337,224,0.21100000000000002,9.88
28,Boston University,18,0.2891,0.741,1.0301,0.41,67.7,1034,0.436,0.215,0.75,222,296,0.379,0.5077881619937694,0.319,184,0.389,5.67
29,Bowling Green State,24,0.3077,0.7043,1.012,0.46,72.5,1594,0.423,0.215,0.739,342,463,0.39,0.4840698869475848,0.329,310,0.583,-1.11
30,Bradley,28,0.2928,0.7437999999999999,1.0366,0.52,66.4,1636,0.45,0.174,0.723,284,393,0.369,0.526621490803485,0.318,382,0.429,1.65
31,Brigham Young,25,0.2897,0.7703,1.06,0.58,70.5,1490,0.483,0.206,0.731,307,420,0.395,0.5521064301552107,0.378,417,0.8,5.18
33,Bryant,20,0.301,0.7023999999999999,1.0034,0.55,77.0,1235,0.473,0.271,0.753,335,445,0.397,0.5288590604026846,0.388,320,0.75,-5.87
34,Bucknell,11,0.2,0.7354,0.9354,0.47,72.9,618,0.456,0.291,0.769,180,234,0.387,0.5329815303430079,0.335,132,0.455,-3.59
35,Buffalo,21,0.36920000000000003,0.7389,1.1081,0.53,75.3,1413,0.466,0.196,0.681,277,407,0.313,0.529351184346035,0.326,348,0.667,-1.34
36,Butler,23,0.2559,0.7531,1.0090000000000001,0.54,65.6,1276,0.412,0.194,0.64,247,386,0.397,0.4714285714285714,0.322,284,0.391,10.67
37,Cal Poly,22,0.2241,0.7123999999999999,0.9364999999999999,0.57,68.6,1206,0.392,0.212,0.715,256,358,0.371,0.4426877470355731,0.306,268,0.136,-2.72
38,Cal State Bakersfield,25,0.3951,0.7453,1.1403999999999999,0.54,65.8,1479,0.446,0.199,0.715,294,411,0.272,0.4795539033457249,0.355,354,0.6,-3.55
39,Cal State Fullerton,15,0.2408,0.7033,0.9440999999999999,0.51,72.9,886,0.455,0.255,0.743,226,304,0.345,0.49137931034482757,0.386,206,0.4,-3.6
40,Cal State Northridge,21,0.25129999999999997,0.7182999999999999,0.9695999999999999,0.53,70.6,1254,0.431,0.222,0.718,278,387,0.377,0.4801536491677337,0.349,286,0.429,-2.93
41,California Baptist,22,0.2949,0.7454000000000001,1.0403,0.64,71.1,1283,0.478,0.249,0.735,319,434,0.412,0.5350993377483444,0.396,393,0.591,-6.18
42,UC-Davis,16,0.2737,0.7221,0.9958,0.43,71.4,921,0.439,0.303,0.784,279,356,0.311,0.48661417322834644,0.332,174,0.562,-6.63
43,UC-Irvine,24,0.3361,0.7645000000000001,1.1006,0.45,69.7,1464,0.453,0.209,0.752,306,407,0.24,0.4892086330935252,0.338,298,0.667,-2.22
44,UC-Riverside,20,0.2656,0.7631,1.0287,0.54,66.8,1158,0.455,0.156,0.693,181,261,0.422,0.5097159940209267,0.38,286,0.65,-4.03
45,UC-San Diego,17,0.1734,0.7028,0.8762000000000001,0.66,70.2,973,0.459,0.136,0.638,132,207,0.514,0.547568710359408,0.376,294,0.41200000000000003,-0.07
46,UC-Santa Barbara,23,0.2993,0.7718,1.0711000000000002,0.61,67.0,1310,0.486,0.238,0.743,312,420,0.34,0.5543981481481481,0.354,389,0.826,-3.8
47,University of California,27,0.2447,0.7578,1.0025,0.53,66.5,1437,0.428,0.24,0.693,345,498,0.404,0.4982497082847141,0.324,326,0.29600000000000004,7.2
48,Campbell,27,0.20679999999999998,0.6976,0.9044,0.55,65.8,1409,0.496,0.23,0.678,324,478,0.369,0.5669291338582677,0.375,387,0.63,-6.65
49,Canisius,13,0.2664,0.7323000000000001,0.9987,0.51,71.5,786,0.408,0.224,0.71,176,248,0.416,0.4880174291938998,0.297,165,0.5379999999999999,-6.71
50,Central Arkansas,24,0.2891,0.7241,1.0131999999999999,0.53,74.0,1388,0.437,0.23,0.717,319,445,0.337,0.47391304347826085,0.363,322,0.20800000000000002,-1.78
51,Central Connecticut State,21,0.23399999999999999,0.6736,0.9076,0.52,72.0,1230,0.424,0.199,0.702,245,349,0.376,0.485006518904824,0.324,270,0.23800000000000002,-4.24
52,Central Florida,21,0.2839,0.6836,0.9675,0.51,67.8,1153,0.431,0.218,0.736,251,341,0.402,0.4782608695652174,0.361,255,0.47600000000000003,8.64
53,Central Michigan,23,0.2767,0.6948000000000001,0.9715,0.39,74.9,1417,0.445,0.248,0.673,352,523,0.326,0.5015706806282723,0.329,246,0.304,-3.03
54,Charleston Southern,21,0.28190000000000004,0.6945999999999999,0.9764999999999999,0.45,70.2,1182,0.406,0.216,0.714,255,357,0.428,0.47337278106508873,0.316,217,0.14300000000000002,-5.49
55,Charlotte,24,0.2224,0.7545999999999999,0.9769999999999999,0.52,64.4,1207,0.437,0.274,0.729,331,454,0.351,0.49808429118773945,0.325,274,0.375,-1.97
56,Chattanooga,26,0.23870000000000002,0.7554000000000001,0.9941000000000001,0.48,68.6,1522,0.438,0.221,0.783,336,429,0.399,0.4907103825136612,0.359,319,0.6920000000000001,-2.37
57,Chicago State,9,0.1656,0.6207,0.7863,0.49,71.2,497,0.362,0.177,0.698,88,126,0.408,0.4387755102040816,0.251,89,0.0,1.86
58,Cincinnati,20,0.2828,0.7552,1.038,0.6,71.5,1167,0.431,0.213,0.659,249,378,0.391,0.5077355836849508,0.311,300,0.5,6.67
