,School,Wins,FG%,FT%,3P%,ORB,TRB,AST,STL,BLK,TOV,PF,tWins
1,Abilene Christian,21,0.457,0.664,0.345,282,892,450,245,79,348,497,1
2,Air Force,5,0.447,0.695,0.338,109,563,294,168,55,348,402,0
3,Akron,14,0.448,0.758,0.337,237,815,285,110,76,255,380,0
4,Alabama A&M,6,0.4,0.627,0.29,160,577,165,82,54,229,273,0
5,Alabama-Birmingham,21,0.454,0.694,0.306,284,992,289,218,112,286,416,0
6,Alabama State,4,0.38,0.647,0.317,205,653,175,110,43,291,343,0
7,Alabama,21,0.431,0.715,0.355,325,1088,381,234,112,385,506,2
8,Albany (NY),7,0.447,0.724,0.337,110,480,187,98,29,201,285,0
9,Alcorn State,6,0.398,0.737,0.306,192,572,163,137,30,258,376,0
10,American,4,0.445,0.705,0.378,78,326,128,73,47,158,193,0
11,Appalachian State,17,0.415,0.737,0.324,307,1007,333,225,97,329,386,0
12,Arizona State,10,0.433,0.728,0.336,185,735,299,162,79,249,446,0
13,Arizona,17,0.447,0.727,0.372,305,997,403,152,104,309,463,0
14,Little Rock,11,0.455,0.702,0.311,261,898,354,165,86,392,415,0
15,Arkansas-Pine Bluff,4,0.387,0.719,0.31,232,778,227,154,92,382,440,0
16,Arkansas State,11,0.447,0.722,0.383,265,892,347,158,68,313,385,0
17,Arkansas,21,0.456,0.745,0.344,310,1041,390,212,134,332,438,3
18,Army,12,0.462,0.629,0.339,164,701,295,128,30,258,312,0
19,Auburn,13,0.437,0.708,0.326,348,1063,400,168,163,438,482,0
20,Austin Peay,14,0.453,0.751,0.339,341,931,357,183,54,397,472,0
21,Ball State,10,0.444,0.747,0.341,213,804,309,121,52,316,416,0
22,Baylor,21,0.497,0.686,0.429,282,804,384,202,82,265,375,6
23,Bellarmine,13,0.515,0.745,0.375,159,608,316,143,42,222,307,0
24,Belmont,26,0.489,0.738,0.344,264,1072,547,232,87,361,438,0
25,Binghamton,4,0.414,0.672,0.331,191,642,199,90,55,250,307,0
26,Boise State,18,0.453,0.743,0.34,234,899,336,165,73,287,422,0
27,Boston College,4,0.423,0.704,0.337,171,636,224,135,77,254,311,0
28,Boston University,7,0.436,0.75,0.319,181,636,184,98,53,223,305,0
29,Bowling Green State,14,0.423,0.739,0.329,300,917,310,178,49,249,409,0
30,Bradley,12,0.45,0.723,0.318,284,1033,382,144,98,346,455,0
31,Brigham Young,20,0.483,0.731,0.378,239,990,417,119,71,338,447,0
33,Bryant,15,0.473,0.753,0.388,214,811,320,138,70,313,327,0
34,Bucknell,5,0.456,0.769,0.335,71,374,132,64,36,142,195,0
35,Buffalo,14,0.466,0.681,0.326,309,926,348,177,86,290,382,0
36,Butler,9,0.412,0.64,0.322,207,747,284,126,46,265,383,0
37,Cal Poly,3,0.392,0.715,0.306,175,715,268,135,79,312,408,0
38,Cal State Bakersfield,15,0.446,0.715,0.355,339,933,354,161,77,320,482,0
39,Cal State Fullerton,6,0.455,0.743,0.386,125,490,206,99,31,195,255,0
40,Cal State Northridge,9,0.431,0.718,0.349,194,699,286,135,45,248,366,0
41,California Baptist,13,0.478,0.735,0.396,215,821,393,112,53,295,436,0
42,UC-Davis,9,0.439,0.784,0.332,150,519,174,125,45,230,324,0
43,UC-Irvine,16,0.453,0.752,0.338,283,968,298,187,93,316,399,0
44,UC-Riverside,13,0.455,0.693,0.38,175,742,286,103,48,246,348,0
45,UC-San Diego,7,0.459,0.638,0.376,99,501,294,116,37,225,232,0
46,UC-Santa Barbara,19,0.486,0.743,0.354,217,809,389,173,69,257,376,0
47,University of California,8,0.428,0.693,0.324,221,856,326,120,60,344,476,0
